PJSXPLJLKD,PJSXOLJLKD
RZEAVZMMMR,RUEAVZMMMR
RCLPYZJRYD,RRLPYZJRYD
YVKHPZYATK,YVKHPZYATY
XXINKKPPDQ,XXINVKPPDQ
SQGGOZIILZ,SQGGOZIILN
IEASMJSABI,IVASMJSABI
UGACOPPEVR,JGACOPPEVR
TOCGBRXOTA,TOCGURXOTA
DCMULYXJOK,DCMULYHJOK
CMNMFMMJBE,CMNMCMMJBE
GESVEMDMKF,GVSVEMDMKF
FAEKEDJRKN,PAEKEDJRKN
ZRHZJKEOYT,ZRHZJKEOYI
XSJZDJQPZL,XHJZDJQPZL
ULYGTURHJL,UEYGTURHJL
UFKXUVKPFD,UFKXUVFPFD
PTTPYKFAJB,PKTPYKFAJB
MQYIJHDDTY,MQYIKHDDTY
HVYQIUCLOE,HVYQIQCLOE
YINUOPEXAC,YINUOPEXAH
OLOLSQTXRN,OLOFSQTXRN
BTYMXPMYFG,BTYMXPQYFG
HYYELDVKFA,HYOELDVKFA
XUYDQKVKSF,XUYDQKXKSF
GEITFSENMM,GENTFSENMM
JRZZBPGIVL,JRZZBPGINL
NQVNQZAALE,NQVNQZAAYE
NEURINAVVB,NEUQINAVVB
EVENMJHGGI,EVCNMJHGGI
FVQGBGKQOZ,HVQGBGKQOZ
PJLJMFEOIG,PJLJMKEOIG
HOSJBPCFXC,HOSJBPCTXC
RLRBKDDKMM,RLRBKDDKRM
ANPIMGJIVQ,ANPIMGDIVQ
UUTMIDPEHZ,UUTMILPEHZ
PNRFBMNCRV,PNRGBMNCRV
MKPJDCYISN,MKPJDCAISN
OVCAEUMTPH,ORCAEUMTPH
ATAPMFYNBS,FTAPMFYNBS
LFBLHZUVCX,LFBLHZUVCP
EIXNZTAQSN,EIXNZTAQSP
TTQBBJXTZH,TTDBBJXTZH
BXLIUYFRAY,BXLIUYFMAY
EVIKNLZDTI,EVIKNHZDTI
IHDFTOBPNB,IHSFTOBPNB
OYVYNIXUVA,OYVENIXUVA
AMZQQOUAOH,AMZQQOUAMH
QZONDZUJIY,QZOGDZUJIY
IXCDSPFOIZ,IXCNSPFOIZ
LPPIEXXMKM,LPPIHXXMKM
GQHPLSBJRO,GQHPLSBJRI
NIVIKDYSXO,NOVIKDYSXO
XKLDYYYPCT,XKLFYYYPCT
VTDGDZFDTR,GTDGDZFDTR
SPJIZTPXHM,SPJIZTPXBM
ZPEKLCDNSZ,ZQEKLCDNSZ
LZDUSCGQNN,TZDUSCGQNN
QFZAIVPUSH,QFZABVPUSH
JNFKIGRRSU,JNFKIGXRSU
UPJJTNSMEK,UPAJTNSMEK
PNTJKVBFRD,PNTJKVBFDD
ALBPJODQLV,ALBPJJDQLV
YOVPRENARD,YOVPRBNARD
JJBZXTCRAK,JJBZXLCRAK
LYJEMHKIQD,HYJEMHKIQD
XINSEUCYIM,XINSKUCYIM
JHVBBTFYRN,JHVBBTFYCN
VAEUIPXTSA,VKEUIPXTSA
QRDORIKNLT,QRDORTKNLT
XXBDNOYQUM,XXBDNOYEUM
FKXNYBEUDC,FKXNYBEUTC
SZPNCVYQZR,OZPNCVYQZR
ACTEZUNCRB,ACTHZUNCRB
CEJBMAQCIA,CUJBMAQCIA
ZDNAHYMKEQ,ZBNAHYMKEQ
CMRPFZFNJC,CMAPFZFNJC
ALIFBBKTSG,ALIFBBKTSM
SLDJBIOGNE,LLDJBIOGNE
XVGMOGHXMJ,XVGMOGHXMI
HTCJTOLDOY,HTCJTSLDOY
MPDHXNNGUB,DPDHXNNGUB
HLPOTCVHXO,HLPOTGVHXO
INSHZPEFFY,INSHMPEFFY
OZRTRKOAJN,OZZTRKOAJN
QORLZIIYPR,CORLZIIYPR
MQBKMJFDYY,MQBKMJFPYY
AGFJHUDEUV,AGFSHUDEUV
YGKLMOPBUQ,YGKLMOXBUQ
CFHCIURNEC,CFHCYURNEC
FKNZPAEQQJ,FKNZPAEQQG
LIIVEASYHK,LIYVEASYHK
JAFQFPODPA,PAFQFPODPA
UCVDQQEOSM,UCVDQQEBSM
ZKZXVUYOMT,ZRZXVUYOMT
SZJPYFGJXV,SZJPYFGJXP
LMLXGDPNEN,LMLXGDPLEN
TFKOBVXDJF,TFKOBVXDDF
NCHFVNTNZP,NMHFVNTNZP
PBKBXEUJHS,PBKBXEUJHD
